DATA_TYPE COF
VERSION Tekscan 압력 측정 시스템 7.00-23
HARDWARE 00114-A988
MAP_VERSION 8.0
HW_TYPE 7
VersaPogoFsx 0
VersaV6CuffFsx 1
파일 이름 C:\Tekscan\FScan\Database\MOVIES\이재영\04L.fsx
SENSOR_TYPE FSCAN
ROWS 60
COLS 21
ROW_SPACING 0.508 centimeters
COL_SPACING 0.508 centimeters
SENSEL_AREA 0.258064 cm2
NOISE_THRESHOLD 3
SECONDS_PER_FRAME 0.01
MICRO_SECOND 1
TIME 2021-12-09 5:10:52.432오후
SATURATION_PRESSURE 816.499 KPa 
CALIBRATION_POINT_1 179 (Pounds) 9636 (Raw Sum) 372 (Number of Loaded Cells)
CALIBRATION_MODE_1 단계
CALIBRATION_INFO C:\Tekscan\FScan\Database\MOVIES\이재영\04L.fsx
SENSITIVITY 기본
MAP_INDEX 1
SUBMAP 1
START_FRAME 1
END_FRAME 11770
COMMENTS Frame, Time, (Absolute Time), Row (cm), Col (cm), Raw Sum
ASCII_DATA @@

205, 2.04, 2021-12-09 5:10:54.472오후, 20.30, 5.22, 2902
206, 2.05, 2021-12-09 5:10:54.482오후, 20.31, 5.23, 2890
207, 2.06, 2021-12-09 5:10:54.492오후, 20.32, 5.21, 2899
208, 2.07, 2021-12-09 5:10:54.502오후, 20.32, 5.22, 2895
209, 2.08, 2021-12-09 5:10:54.512오후, 20.29, 5.22, 2891
210, 2.09, 2021-12-09 5:10:54.522오후, 20.30, 5.21, 2904
211, 2.1, 2021-12-09 5:10:54.532오후, 20.31, 5.22, 2898
212, 2.11, 2021-12-09 5:10:54.542오후, 20.29, 5.22, 2896
213, 2.12, 2021-12-09 5:10:54.552오후, 20.26, 5.22, 2913
214, 2.13, 2021-12-09 5:10:54.562오후, 20.27, 5.21, 2912
215, 2.14, 2021-12-09 5:10:54.572오후, 20.35, 5.20, 2914
216, 2.15, 2021-12-09 5:10:54.582오후, 20.34, 5.21, 2907
217, 2.16, 2021-12-09 5:10:54.592오후, 20.38, 5.20, 2907
218, 2.17, 2021-12-09 5:10:54.602오후, 20.37, 5.22, 2892
219, 2.18, 2021-12-09 5:10:54.612오후, 20.37, 5.23, 2888
220, 2.19, 2021-12-09 5:10:54.622오후, 20.33, 5.21, 2904
221, 2.2, 2021-12-09 5:10:54.632오후, 20.43, 5.23, 2879
222, 2.21, 2021-12-09 5:10:54.642오후, 20.40, 5.23, 2891
223, 2.22, 2021-12-09 5:10:54.652오후, 20.41, 5.23, 2886
224, 2.23, 2021-12-09 5:10:54.662오후, 20.44, 5.21, 2897
225, 2.24, 2021-12-09 5:10:54.672오후, 20.45, 5.21, 2898
226, 2.25, 2021-12-09 5:10:54.682오후, 20.45, 5.20, 2902
227, 2.26, 2021-12-09 5:10:54.692오후, 20.48, 5.20, 2923
228, 2.27, 2021-12-09 5:10:54.702오후, 20.48, 5.22, 2915
229, 2.28, 2021-12-09 5:10:54.712오후, 20.49, 5.20, 2934
230, 2.29, 2021-12-09 5:10:54.722오후, 20.41, 5.20, 2957
231, 2.3, 2021-12-09 5:10:54.732오후, 20.44, 5.16, 2980
232, 2.31, 2021-12-09 5:10:54.742오후, 20.45, 5.15, 2991
233, 2.32, 2021-12-09 5:10:54.752오후, 20.45, 5.16, 3007
234, 2.33, 2021-12-09 5:10:54.762오후, 20.48, 5.20, 2992
235, 2.34, 2021-12-09 5:10:54.772오후, 20.49, 5.20, 3037
236, 2.35, 2021-12-09 5:10:54.782오후, 20.49, 5.18, 3067
237, 2.36, 2021-12-09 5:10:54.792오후, 20.51, 5.16, 3095
238, 2.37, 2021-12-09 5:10:54.802오후, 20.49, 5.16, 3130
239, 2.38, 2021-12-09 5:10:54.812오후, 20.49, 5.16, 3139
240, 2.39, 2021-12-09 5:10:54.822오후, 20.53, 5.15, 3150
241, 2.4, 2021-12-09 5:10:54.832오후, 20.60, 5.16, 3142
242, 2.41, 2021-12-09 5:10:54.842오후, 20.60, 5.16, 3167
243, 2.42, 2021-12-09 5:10:54.852오후, 20.63, 5.16, 3164
244, 2.43, 2021-12-09 5:10:54.862오후, 20.64, 5.15, 3180
